date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:55:15	140/140	------	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Nov%202017%2019:47:48%20GMT	https://www.trost.co.kr/robots.txt		(from )
21:55:15	27312/27312	------	200	untouched ('OK')	text/html	date:Sun,%2012%20Nov%202017%2019:47:48%20GMT	https://www.trost.co.kr/	/home/tits/websites/South%20Korea%20e27.co%20mobile/www.trost.co.kr/index.html	(from )
21:55:15	45604/45604	------	200	untouched ('OK')	text/html	etag:%22b224-53b70b0f559ff%22	http://blue-core.com/	/home/tits/websites/South%20Korea%20e27.co%20mobile/blue-core.com/index.html	(from )
21:55:15	4972/4972	------	200	untouched ('OK')	text/html	etag:%22591e8168-136c%22	https://zigzag.kr/	/home/tits/websites/South%20Korea%20e27.co%20mobile/zigzag.kr/index.html	(from )
21:55:15	37741/37741	------	200	untouched ('OK')	text/html	date:Sun,%2012%20Nov%202017%2019:46:54%20GMT	http://applr.co.kr/	/home/tits/websites/South%20Korea%20e27.co%20mobile/applr.co.kr/index.html	(from )
21:55:15	11674/11674	------	200	untouched ('OK')	text/html	etag:%222d9a-54e2fa9902d48%22	http://junggglex.com/	/home/tits/websites/South%20Korea%20e27.co%20mobile/junggglex.com/index.html	(from )
21:55:15	29536/29536	------	200	untouched ('OK')	text/html	etag:W/%22lQjtLSbszAioV1Luw7on2A==%22	https://www.wahome.co.kr/	/home/tits/websites/South%20Korea%20e27.co%20mobile/www.wahome.co.kr/index.html	(from )
21:55:15	17541/17541	------	200	untouched ('OK')	text/html	date:Wed,%2008%20Nov%202017%2006:40:02%20GMT	http://easi-way.com/	/home/tits/websites/South%20Korea%20e27.co%20mobile/easi-way.com/index.html	(from )
21:55:15	208/208	------	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Nov%202017%2019:50:25%20GMT	http://blue-core.com/robots.txt		(from )
21:55:15	353/353	------	200	untouched ('')	application/json	etag:%2258a2f986-161%22	https://www.trost.co.kr/assets/file/manifest_webapp.json	/home/tits/websites/South%20Korea%20e27.co%20mobile/www.trost.co.kr/assets/file/manifest_webapp.json	(from https://www.trost.co.kr/)
21:55:15	291941/291941	------	200	untouched ('OK')	text/html	date:Sun,%2012%20Nov%202017%2019:48:02%20GMT	https://www.trost.co.kr/mobile/	/home/tits/websites/South%20Korea%20e27.co%20mobile/www.trost.co.kr/mobile/index.html	(from https://www.trost.co.kr/)
21:55:15	28210/28210	------	200	untouched ('OK')	text/html	date:Sun,%2012%20Nov%202017%2019:48:04%20GMT	https://www.trost.co.kr/manual/texttime/	/home/tits/websites/South%20Korea%20e27.co%20mobile/www.trost.co.kr/manual/texttime/index.html	(from https://www.trost.co.kr/)
21:55:15	20657/20657	------	200	untouched ('OK')	text/html	date:Sun,%2012%20Nov%202017%2019:48:04%20GMT	https://www.trost.co.kr/about/counselor/	/home/tits/websites/South%20Korea%20e27.co%20mobile/www.trost.co.kr/about/counselor/index.html	(from https://www.trost.co.kr/)
21:55:15	16311/16311	------	200	untouched ('OK')	text/html	date:Sun,%2012%20Nov%202017%2019:48:34%20GMT	https://www.trost.co.kr/about/humart/	/home/tits/websites/South%20Korea%20e27.co%20mobile/www.trost.co.kr/about/humart/index.html	(from https://www.trost.co.kr/)
21:55:15	23803/23803	------	200	untouched ('OK')	text/html	date:Sun,%2012%20Nov%202017%2019:48:34%20GMT	https://www.trost.co.kr/about/join/	/home/tits/websites/South%20Korea%20e27.co%20mobile/www.trost.co.kr/about/join/index.html	(from https://www.trost.co.kr/)
21:55:15	39794/39794	------	200	untouched ('OK')	text/html	date:Sun,%2012%20Nov%202017%2019:48:35%20GMT	https://www.trost.co.kr/about/faq/	/home/tits/websites/South%20Korea%20e27.co%20mobile/www.trost.co.kr/about/faq/index.html	(from https://www.trost.co.kr/)
