date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:46:54	45604/45604	---M--	200	added ('OK')	text/html	etag:%22b224-53b70b0f559ff%22	http://blue-core.com/	/home/tits/websites/South%20Korea%20e27.co%20mobile/blue-core.com/index.html	(from )
21:46:55	27312/27312	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Nov%202017%2019:47:48%20GMT	https://www.trost.co.kr/	/home/tits/websites/South%20Korea%20e27.co%20mobile/www.trost.co.kr/index.html	(from )
21:46:55	37741/37741	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Nov%202017%2019:46:54%20GMT	http://applr.co.kr/	/home/tits/websites/South%20Korea%20e27.co%20mobile/applr.co.kr/index.html	(from )
21:46:58	11674/11674	---M--	200	added ('OK')	text/html	etag:%222d9a-54e2fa9902d48%22	http://junggglex.com/	/home/tits/websites/South%20Korea%20e27.co%20mobile/junggglex.com/index.html	(from )
21:47:00	17541/17541	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Nov%202017%2006:40:02%20GMT	http://easi-way.com/	/home/tits/websites/South%20Korea%20e27.co%20mobile/easi-way.com/index.html	(from )
21:47:00	140/140	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Nov%202017%2019:47:48%20GMT	https://www.trost.co.kr/robots.txt		(from )
21:47:00	4972/4972	---M--	200	added ('OK')	text/html	etag:%22591e8168-136c%22	https://zigzag.kr/	/home/tits/websites/South%20Korea%20e27.co%20mobile/zigzag.kr/index.html	(from )
21:47:00	29536/29536	---MCZ	200	added ('OK')	text/html	etag:W/%22lQjtLSbszAioV1Luw7on2A==%22	https://www.wahome.co.kr/	/home/tits/websites/South%20Korea%20e27.co%20mobile/www.wahome.co.kr/index.html	(from )
21:47:01	353/353	---M--	200	added ('OK')	application/json	etag:%2258a2f986-161%22	https://www.trost.co.kr/assets/file/manifest_webapp.json	/home/tits/websites/South%20Korea%20e27.co%20mobile/www.trost.co.kr/assets/file/manifest_webapp.json	(from https://www.trost.co.kr/)
21:47:02	3814/3814	---M--	200	added ('OK')	image/png	etag:%2257abaeaf-ee6%22	https://trost.co.kr/assets/mobile/app-icon.png	/home/tits/websites/South%20Korea%20e27.co%20mobile/trost.co.kr/assets/mobile/app-icon.png	(from https://www.trost.co.kr/)
